A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOCKS, BRICKS, NO, 146, 9, .062, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 37, ¥, , N, 1.69, .23, .024, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOCKS, LEGOS, NO, 146, 9, .062, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 37, ¥, , N, 1.69, .23, .024, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOCKS, STREETS, NO, 146, 9, .062, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 37, ¥, , N, 1.69, .23, .024, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOCKS, TOYS, YES, 146, 8, .055, 0.000, .0010, .0135, 2, 3, 4.0, 2, 16, 37, ¥, , N, 1.69, .23, .024, 0, 21, 11, 5.32, , N, 1.09, .27, .010, 0
BLOCKS, CHILDREN, YES, 146, 7, .048, 0.000, .0130, .0057, 3, 3, 3.0, 1, 16, 37, ¥, , N, 1.69, .23, .024, 0, 17, 346, 5.78, , N, 1.82, .29, .079, 1
BLOCKS, BABY, YES, 146, 6, .041, 0.000, .0020, 0.0000, 1, 3, 0.0, 0, 16, 37, ¥, , N, 1.69, .23, .024, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1
BLOCKS, CEMENT, YES, 146, 5, .034, 0.000, 0.0000, .0012, 0, 3, 1.0, 1, 16, 37, ¥, , N, 1.69, .23, .024, 0, 12, 11, 6.42, , N, 1.75, .33, .021, 1
BLOCKS, HOUSE, YES, 146, 4, .027, 0.000, .0450, .0061, 5, 3, 1.0, 0, 16, 37, ¥, , N, 1.69, .23, .024, 0, 13, 591, 6.21, , N, 1.00, .85, .223, 1
BLOCKS, SQUARE, YES, 146, 4, .027, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 16, 37, ¥, , N, 1.69, .23, .024, 0, 13, 143, 5.15, N, N, 1.42, .67, .383, 1
BLOCKS, STACK, YES, 146, 3, .021, .020, 0.0000, .0047, 0, 3, 2.0, 1, 16, 37, ¥, , N, 1.69, .23, .024, 0, 17, 9, ¥, , N, .82, .27, .027, 0
BLOCKS, WOOD, YES, 146, 3, .021, 0.000, 0.0000, .0015, 0, 3, 2.0, 2, 16, 37, ¥, , N, 1.69, .23, .024, 0, 26, 55, 5.81, , N, 1.73, .50, .029, 1
BLOCKS, KIDS, YES, 146, 2, .014, 0.000, .0180, .0122, 3, 3, 3.0, 1, 16, 37, ¥, , N, 1.69, .23, .024, 0, 24, 32, ¥, , N, 1.95, .20, .055, 1
BLOCKS, NEIGHBORHOOD, YES, 146, 2, .014, 0.000, 0.0000, .0051, 0, 3, 3.0, 3, 16, 37, ¥, , N, 1.69, .23, .024, 0, 21, 1, ¥, , N, 2.00, .25, .011, 1
BLOCKS, PLAY, YES, 146, 2, .014, 0.000, .0130, 0.0000, 3, 3, 0.0, 0, 16, 37, ¥, , N, 1.69, .23, .024, 0, 21, 200, 4.22, P, V, 1.30, .45, .045, 1
BLONDE, BRUNETTE, YES, 145, 35, .238, .571, 0.0000, .0189, 1, 2, 3.0, 2, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 9, 1, ¥, , N, 1.75, .25, .139, 1
BLONDE, HAIR, YES, 145, 24, .163, .033, .0240, .0009, 4, 2, 1.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 19, 148, 5.70, , N, .72, .72, .184, 1
BLONDE, BLUE, YES, 145, 9, .061, 0.000, .0080, .0021, 3, 2, 1.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 14, 143, 4.49, N, N, 1.69, .54, .203, 1
BLONDE, GIRL, YES, 145, 7, .048, 0.000, .0080, 0.0000, 3, 2, 0.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
BLONDE, DIZZY, YES, 145, 6, .041, .114, 0.0000, .0019, 0, 2, 3.0, 2, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 17, 5, 3.60, , AJ, .93, .20, .020, 1
BLONDE, BIMBO, NO, 145, 5, .034, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLONDE, BLEACH, YES, 145, 5, .034, .089, 0.0000, .0078, 0, 2, 1.0, 1, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 15, 5, 5.40, , V, 2.31, .31, .060, 1
BLONDE, YELLOW, YES, 145, 5, .034, 0.000, 0.0000, .0051, 1, 2, 2.0, 1, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 20, 55, 5.18, N, N, 2.21, .58, .043, 1
BLONDE, BEAUTY, YES, 145, 3, .020, 0.000, 0.0000, .0039, 0, 2, 1.0, 1, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 17, 71, 3.31, , N, 2.00, .29, .020, 1
BLONDE, BROWN, YES, 145, 3, .020, 0.000, .0530, .0164, 2, 2, 4.0, 2, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 20, 176, 4.63, , N, 2.20, .35, .011, 1
BLONDE, DUMB, YES, 145, 3, .020, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 4, 13, 3.36, , AJ, .50, .75, .405, 1
BLONDE, FUN, YES, 145, 3, .020, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 15, 44, 2.45, , N, 2.13, .73, .058, 1
BLONDE, RED, YES, 145, 3, .020, 0.000, .0080, .0193, 3, 2, 3.0, 1, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
BLONDE, AIRHEAD, NO, 145, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLONDE, BOMB, YES, 145, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 15, 20, 5.02, , AJ, 1.46, .31, .149, 1, 17, 36, 5.91, , N, 1.50, .63, .131, 1
BLOOD, RED, YES, 178, 60, .337, .047, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
BLOOD, LIFE, YES, 178, 18, .101, 0.000, .0030, .0053, 2, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 11, 715, 3.88, , N, 1.36, .73, .161, 1
BLOOD, DONOR, YES, 178, 12, .067, .524, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 10, 5, 4.00, , N, 1.12, .25, .047, 1
BLOOD, PLASMA, YES, 178, 9, .051, .818, 0.0000, .0006, 0, 3, 1.0, 1, 20, 121, 6.55, , N, .53, .65, .123, 1, 4, 13, 5.08, , N, .75, .25, .042, 1
BLOOD, VEIN, YES, 178, 8, .045, .384, 0.0000, .0002, 1, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 10, 25, 5.49, , N, 1.30, .30, .154, 1
BLOOD, BANK, YES, 178, 7, .039, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 6, 83, 5.69, N, N, .67, 1.00, .057, 1
BLOOD, CUT, YES, 178, 5, .028, .168, .0020, .0001, 1, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 21, 192, 4.15, G, N, 1.35, .60, .072, 1
BLOOD, PRESSURE, YES, 178, 5, .028, .082, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 21, 185, 3.63, , N, 1.00, .40, .020, 1
BLOOD, GUTS, NO, 178, 3, .017, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 121, 6.55, , N, .53, .65, .123, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOOD, CELL, YES, 178, 2, .011, .086, .0030, .0021, 1, 3, 1.0, 1, 20, 121, 6.55, , N, .53, .65, .123, 1, 16, 65, 6.63, N, N, 1.14, .64, .032, 1
BLOOD, DEATH, YES, 178, 2, .011, 0.000, .0490, .0276, 2, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 15, 277, 3.86, , N, 1.85, .69, .170, 1
BLOOD, HEMOGLOBIN, NO, 178, 2, .011, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 121, 6.55, , N, .53, .65, .123, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOOD, HOUND, YES, 178, 2, .011, .014, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 5, 7, 6.83, N, N, .25, .50, .003, 1
BLOOD, LIQUID, YES, 178, 2, .011, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 14, 48, 6.02, , N, 1.38, .31, .025, 1
BLOOD, NEEDLE, YES, 178, 2, .011, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 8, 15, 5.79, , N, 2.12, .88, .433, 1
BLOOD, SKIN, YES, 178, 2, .011, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 23, 47, 6.96, , N, 1.55, .41, .028, 1
BLOOD, TRANSFUSION, NO, 178, 2, .011, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 121, 6.55, , N, .53, .65, .123, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOOD, VAMPIRE, YES, 178, 2, .011, .333, 0.0000, .0002, 0, 3, 1.0, 1, 20, 121, 6.55, , N, .53, .65, .123, 1, 11, 1, 5.12, , N, 2.36, .36, .043, 1
BLOOD, VESSEL, YES, 178, 2, .011, .090, .0010, .0006, 1, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 11, 16, 5.85, N, N, .80, .30, .002, 1
BLOOD, WOUND, YES, 178, 2, .011, .056, 0.0000, .0051, 1, 3, 1.0, 0, 20, 121, 6.55, , N, .53, .65, .123, 1, 12, 28, 5.20, W, N, 2.58, .50, .012, 1
BLOOM, FLOWER, YES, 150, 89, .593, .030, .0830, .0109, 4, 1, 2.0, 0, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 21, 23, 5.62, G, N, 1.62, .67, .265, 1
BLOOM, BLOSSOM, YES, 150, 23, .153, .072, .0110, .2661, 1, 1, 5.0, 4, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 13, 7, 6.62, , N, 1.00, .27, .019, 1
BLOOM, SPRING, YES, 150, 7, .047, 0.000, .0030, .0332, 1, 1, 1.0, 1, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 14, 127, 5.12, N, V, 1.71, .43, .080, 1
BLOOM, ROSE, YES, 150, 5, .033, 0.000, .1540, .2153, 2, 1, 1.0, 0, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 10, 86, 5.86, N, N, .78, .56, .138, 1
BLOOM, GROW, YES, 150, 4, .027, 0.000, .0100, .0166, 1, 1, 1.0, 1, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 24, 63, 4.05, , V, 1.73, .18, .013, 1
BLOOM, SPROUT, NO, 150, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 7, 12, 5.28, , N, 1.67, .33, .029, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOOM, OPEN, YES, 150, 2, .013, 0.000, .0040, 0.0000, 1, 1, 0.0, 0, 7, 12, 5.28, , N, 1.67, .33, .029, 1, 5, 319, 3.72, G, AJ, 1.60, 1.00, .340, 1
BLOSSOM, FLOWER, YES, 152, 67, .441, .018, .0620, .0136, 4, 2, 2.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 21, 23, 5.62, G, N, 1.62, .67, .265, 1
BLOSSOM, SHOW, YES, 152, 16, .105, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 24, 287, 3.93, G, V, 1.52, .44, .046, 1
BLOSSOM, BLOOM, YES, 152, 11, .072, .153, .0130, .2661, 1, 2, 5.0, 4, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 7, 12, 5.28, , N, 1.67, .33, .029, 1
BLOSSOM, GROW, YES, 152, 10, .066, 0.000, .0020, .0128, 1, 2, 2.0, 2, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 24, 63, 4.05, , V, 1.73, .18, .013, 1
BLOSSOM, ROSE, YES, 152, 7, .046, 0.000, .1120, .1601, 2, 2, 1.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 10, 86, 5.86, N, N, .78, .56, .138, 1
BLOSSOM, ORANGE, YES, 152, 6, .039, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 14, 23, 5.74, , N, 2.15, .69, .256, 1
BLOSSOM, OPEN, YES, 152, 4, .026, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 5, 319, 3.72, G, AJ, 1.60, 1.00, .340, 1
BLOSSOM, SPRING, YES, 152, 3, .020, 0.000, .0030, .0247, 1, 2, 1.0, 1, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 14, 127, 5.12, N, V, 1.71, .43, .080, 1
BLOSSOM, CHERRY, YES, 152, 2, .013, .014, 0.0000, 0.0000, 0, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 16, 6, 5.86, , N, 1.12, .25, .016, 1
BLOSSOM, GIRL, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
BLOSSOM, MATURE, YES, 152, 2, .013, 0.000, .0020, 0.0000, 1, 2, 0.0, 0, 13, 7, 6.62, , N, 1.00, .27, .019, 1, 15, 31, 2.39, , AJ, 2.64, .36, .017, 1
BLOSSOM, WILT, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 7, 6.62, , N, 1.00, .27, .019, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOSSOM, WITHER, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 7, 6.62, , N, 1.00, .27, .019, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BLOT, INK, YES, 152, 67, .441, .060, .0080, .0198, 6, 0, 3.0, 1, 14, 6, ¥, , N, 2.50, .14, .027, 1, 10, 7, 6.26, , N, 1.33, .56, .134, 1
BLOT, SPOT, YES, 152, 11, .072, 0.000, .0170, .0184, 5, 0, 4.0, 1, 14, 6, ¥, , N, 2.50, .14, .027, 1, 12, 57, 4.71, T, N, 1.25, .33, .074, 1
BLOT, SMEAR, YES, 152, 6, .039, 0.000, .0090, .0158, 1, 0, 5.0, 4, 14, 6, ¥, , N, 2.50, .14, .027, 1, 21, 2, 3.51, G, V, 1.50, .25, .089, 1
BLOT, DOT, YES, 152, 4, .026, 0.000, .0050, .0115, 2, 0, 4.0, 2, 14, 6, ¥, , N, 2.50, .14, .027, 1, 16, 13, 5.45, , N, 1.46, .31, .016, 0
BLOT, DRY, YES, 152, 4, .026, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 18, 68, 3.36, W, AJ, .83, .39, .239, 1
BLOT, PEN, YES, 152, 4, .026, 0.000, .3080, .0670, 3, 0, 1.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 4, 18, 5.59, N, N, 2.00, 1.00, .429, 1
BLOT, LIPSTICK, YES, 152, 3, .020, 0.000, .0020, 0.0000, 1, 0, 0.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 11, 3, ¥, , N, 1.90, .30, .014, 1
BLOT, MARK, YES, 152, 3, .020, 0.000, .0030, .0155, 3, 0, 4.0, 3, 14, 6, ¥, , N, 2.50, .14, .027, 1, 18, 83, 4.60, T, N, 2.24, .18, .011, 1
BLOT, MESS, YES, 152, 3, .020, 0.000, .0100, 0.0000, 4, 0, 0.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 18, 22, 3.75, T, N, 1.67, .13, .006, 1
BLOT, SMUDGE, YES, 152, 3, .020, 0.000, .0080, .0306, 1, 0, 7.0, 6, 14, 6, ¥, , N, 2.50, .14, .027, 1, 11, 1, 4.15, , V, 2.40, .10, .087, 1
BLOT, SPILL, YES, 152, 3, .020, 0.000, 0.0000, .0038, 1, 0, 1.0, 1, 14, 6, ¥, , N, 2.50, .14, .027, 1, 16, 1, 4.49, , V, 1.69, .38, .018, 1
BLOT, BLACK, YES, 152, 2, .013, 0.000, .0120, 0.0000, 4, 0, 0.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 10, 203, 4.66, , AJ, .50, .50, .381, 1
BLOT, BLOOD, YES, 152, 2, .013, 0.000, .0020, 0.0000, 2, 0, 0.0, 0, 14, 6, ¥, , N, 2.50, .14, .027, 1, 20, 121, 6.55, , N, .53, .65, .123, 1
BLOT, STAIN, YES, 152, 2, .013, .014, .0250, .0311, 2, 0, 6.0, 5, 14, 6, ¥, , N, 2.50, .14, .027, 1, 24, 6, 6.25, , V, 2.18, .18, .067, 1
BLOUSE, SHIRT, YES, 156, 101, .647, .135, .0240, .0157, 5, 0, 6.0, 1, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 17, 27, 6.05, , N, 3.00, .81, .201, 1
BLOUSE, SKIRT, YES, 156, 11, .071, .199, .0180, .0576, 2, 0, 4.0, 2, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 15, 21, 6.28, N, N, 3.07, .50, .071, 1
BLOUSE, BUTTON, YES, 156, 6, .038, 0.000, .0410, .1568, 1, 0, 2.0, 1, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 16, 10, 6.00, , N, 2.12, .44, .035, 1
BLOUSE, PANTS, YES, 156, 6, .038, 0.000, .1810, .1232, 3, 0, 4.0, 2, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 22, 9, 6.15, , N, 2.86, .52, .145, 1
BLOUSE, TOP, YES, 156, 5, .032, 0.000, .0140, .0091, 3, 0, 1.0, 0, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 11, 204, 4.31, T, N, .82, .55, .359, 1
BLOUSE, GIRL, YES, 156, 3, .019, 0.000, .0060, .0005, 3, 0, 1.0, 0, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
BLOUSE, PRETTY, YES, 156, 3, .019, 0.000, .0010, .0028, 1, 0, 1.0, 0, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 11, 107, 2.90, , AJ, 2.82, .91, .200, 1
BLOUSE, BRA, YES, 156, 2, .013, 0.000, 0.0000, .0010, 0, 0, 2.0, 2, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 15, 0, 6.25, , N, 1.00, .27, .003, 0
BLOUSE, SWEATER, YES, 156, 2, .013, .047, .0090, .0828, 2, 0, 1.0, 0, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 14, 14, 6.78, , N, 2.92, .54, .018, 1
BLOUSE, WEAR, YES, 156, 2, .013, 0.000, .0220, .0002, 2, 0, 1.0, 1, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 16, 36, 3.46, N, V, 1.11, .78, .044, 0
BLOUSE, WHITE, YES, 156, 2, .013, 0.000, 0.0000, 0.0000, 1, 0, 0.0, 0, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 8, 365, 4.68, , N, .88, .88, .390, 1
BLOW, WIND, YES, 146, 23, .158, .169, .0010, .0041, 1, 0, 1.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 19, 63, 5.40, N, N, 1.50, .50, .121, 1
BLOW, AIR, YES, 146, 8, .055, 0.000, .0210, .0046, 4, 0, 2.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 17, 257, 5.67, T, N, 1.00, .65, .159, 1
BLOW, UP, YES, 146, 8, .055, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 5, 1895, 3.80, , AD, 1.20, 1.00, .502, 1
BLOW, CANDLE, YES, 146, 7, .048, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 8, 18, 5.37, , N, 1.38, .50, .081, 1
BLOW, DRYER, YES, 146, 7, .048, 0.000, 0.0000, .0043, 1, 0, 1.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 9, 4, 6.35, , N, 1.56, .22, .325, 1
BLOW, AWAY, YES, 146, 5, .034, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 17, 456, 2.53, , AD, 2.44, .38, .037, 1
BLOW, OUT, YES, 146, 5, .034, 0.000, .0020, 0.0000, 1, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 6, 2096, 2.40, G, AD, .20, .40, .758, 1
BLOW, WHISTLE, YES, 146, 5, .034, .175, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 16, 4, 5.58, , V, .93, .14, .007, 1
BLOW, HORN, YES, 146, 4, .027, .129, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 15, 31, 5.91, N, N, 1.57, .50, .114, 1
BLOW, JOB, YES, 146, 4, .027, 0.000, .0010, 0.0000, 1, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 7, 238, 4.11, , N, 1.86, 1.00, .102, 1
BLOW, SUCK, YES, 146, 4, .027, .078, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 21, 5, ¥, , V, .81, .19, .016, 0
BLOW, TORCH, YES, 146, 4, .027, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 7, 2, ¥, , N, 1.43, .29, .003, 1
BLOW, BALLOON, YES, 146, 3, .021, 0.000, .0010, .0148, 1, 0, 2.0, 1, 23, 33, 3.88, N, V, .74, .35, .041, 1, 21, 10, 6.10, , N, 1.10, .10, .067, 1
BLOW, BREATH, YES, 146, 3, .021, 0.000, 0.0000, .0144, 0, 0, 1.0, 1, 23, 33, 3.88, N, V, .74, .35, .041, 1, 13, 53, 4.91, , N, 2.08, .42, .017, 1
BLOW, HAIR, YES, 146, 3, .021, 0.000, .0100, .0005, 2, 0, 1.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 19, 148, 5.70, , N, .72, .72, .184, 1
BLOW, HIT, YES, 146, 3, .021, 0.000, .0090, .0014, 1, 0, 1.0, 1, 23, 33, 3.88, N, V, .74, .35, .041, 1, 18, 115, 4.39, G, V, 1.18, .47, .045, 1
BLOW, POP, YES, 146, 3, .021, 0.000, .0050, .0005, 3, 0, 1.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 15, 8, 3.85, , V, 1.79, .36, .203, 1
BLOW, STRIKE, YES, 146, 3, .021, .015, 0.0000, .0120, 0, 0, 2.0, 2, 23, 33, 3.88, N, V, .74, .35, .041, 1, 15, 50, ¥, N, V, 1.20, .33, .004, 1
BLOW, BUBBLE, YES, 146, 2, .014, .029, 0.0000, .0005, 0, 0, 1.0, 1, 23, 33, 3.88, N, V, .74, .35, .041, 1, 8, 12, 5.39, , N, 1.12, .63, .046, 1
BLOW, DRY, YES, 146, 2, .014, 0.000, 0.0000, .0011, 0, 0, 2.0, 2, 23, 33, 3.88, N, V, .74, .35, .041, 1, 18, 68, 3.36, W, AJ, .83, .39, .239, 1
BLOW, EXPLODE, YES, 146, 2, .014, .092, .0010, .0004, 1, 0, 1.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 15, 6, 4.92, , V, 1.73, .53, .093, 1
BLOW, HARD, YES, 146, 2, .014, 0.000, .0020, 0.0000, 1, 0, 0.0, 0, 23, 33, 3.88, N, V, .74, .35, .041, 1, 10, 202, 4.21, N, AJ, 1.00, .90, .328, 1
BLOW, NOSE, YES, 146, 2, .014, .034, 0.0000, .0020, 0, 0, 1.0, 1, 23, 33, 3.88, N, V, .74, .35, .041, 1, 15, 60, 6.26, , N, .75, .58, .047, 1
BLUBBER, FAT, YES, 148, 87, .588, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 4, 1, ¥, , N, 0.00, .25, .020, 1, 16, 60, 4.80, , N, 1.47, .60, .229, 1
BLUBBER, WHALE, YES, 148, 41, .277, .072, 0.0000, 0.0000, 0, 0, 0.0, 0, 4, 1, ¥, , N, 0.00, .25, .020, 1, 17, 0, 6.23, , N, 1.73, .40, .036, 1
BLUBBER, CRY, YES, 148, 3, .020, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 4, 1, ¥, , N, 0.00, .25, .020, 1, 14, 48, 4.32, , V, 1.69, .77, .292, 1
BLUBBER, BUTT, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 4, 1, ¥, , N, 0.00, .25, .020, 1, 14, 12, ¥, , N, .79, .21, .020, 1
BLUE, SKY, YES, 141, 40, .284, .522, .0010, 0.0000, 1, 1, 0.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 12, 58, 5.32, , N, 1.18, .82, .232, 1
BLUE, GREEN, YES, 141, 19, .135, .118, .0040, .0052, 2, 1, 2.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 17, 116, 5.46, N, N, 1.19, .94, .142, 1
BLUE, RED, YES, 141, 15, .106, .260, .0160, .0081, 4, 1, 4.0, 1, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
BLUE, EYE, YES, 141, 13, .092, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 13, 122, 6.28, , N, 1.82, .73, .139, 1
BLUE, COLOR, YES, 141, 6, .043, .215, .0110, .0333, 4, 1, 4.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 12, 141, 4.45, , N, 3.08, 1.00, .090, 1
BLUE, WATER, YES, 141, 5, .035, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 18, 442, 6.27, , N, 2.00, .94, .146, 1
BLUE, BLACK, YES, 141, 4, .028, 0.000, .0170, .0099, 5, 1, 2.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 10, 203, 4.66, , AJ, .50, .50, .381, 1
BLUE, SAD, YES, 141, 4, .028, .026, 0.0000, 0.0000, 0, 1, 0.0, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, 7, 35, 3.52, , AJ, 1.14, 1.00, .478, 1
